priority,device,manifest,manifest_json,launcher
fallback,Samsung Galaxy FE,samsung_fe5g_xr_ar_material_stress_probe_a_warm_trace_paired_sanity_2sets.json,https://innominata88.github.io/webxr-harness/manifest-packs/m2026-06-05-a/manifests/samsung_fe5g_xr_ar_material_stress_probe_a_warm_trace_paired_sanity_2sets.json?v=m2026-06-05-a,https://innominata88.github.io/webxr-harness/releases/r2026-03-24-b/run-launcher.html?v=m2026-06-05-a&manifest=https%3A%2F%2Finnominata88.github.io%2Fwebxr-harness%2Fmanifest-packs%2Fm2026-06-05-a%2Fmanifests%2Fsamsung_fe5g_xr_ar_material_stress_probe_a_warm_trace_paired_sanity_2sets.json%3Fv%3Dm2026-06-05-a
required,Samsung Galaxy FE,samsung_fe5g_xr_ar_material_stress_probe_a_warm_trace_paired_5sets.json,https://innominata88.github.io/webxr-harness/manifest-packs/m2026-06-05-a/manifests/samsung_fe5g_xr_ar_material_stress_probe_a_warm_trace_paired_5sets.json?v=m2026-06-05-a,https://innominata88.github.io/webxr-harness/releases/r2026-03-24-b/run-launcher.html?v=m2026-06-05-a&manifest=https%3A%2F%2Finnominata88.github.io%2Fwebxr-harness%2Fmanifest-packs%2Fm2026-06-05-a%2Fmanifests%2Fsamsung_fe5g_xr_ar_material_stress_probe_a_warm_trace_paired_5sets.json%3Fv%3Dm2026-06-05-a
fallback,Pixel 8a,pixel8a_xr_ar_material_stress_probe_a_warm_trace_paired_sanity_2sets.json,https://innominata88.github.io/webxr-harness/manifest-packs/m2026-06-05-a/manifests/pixel8a_xr_ar_material_stress_probe_a_warm_trace_paired_sanity_2sets.json?v=m2026-06-05-a,https://innominata88.github.io/webxr-harness/releases/r2026-03-24-b/run-launcher.html?v=m2026-06-05-a&manifest=https%3A%2F%2Finnominata88.github.io%2Fwebxr-harness%2Fmanifest-packs%2Fm2026-06-05-a%2Fmanifests%2Fpixel8a_xr_ar_material_stress_probe_a_warm_trace_paired_sanity_2sets.json%3Fv%3Dm2026-06-05-a
required,Pixel 8a,pixel8a_xr_ar_material_stress_probe_a_warm_trace_paired_5sets.json,https://innominata88.github.io/webxr-harness/manifest-packs/m2026-06-05-a/manifests/pixel8a_xr_ar_material_stress_probe_a_warm_trace_paired_5sets.json?v=m2026-06-05-a,https://innominata88.github.io/webxr-harness/releases/r2026-03-24-b/run-launcher.html?v=m2026-06-05-a&manifest=https%3A%2F%2Finnominata88.github.io%2Fwebxr-harness%2Fmanifest-packs%2Fm2026-06-05-a%2Fmanifests%2Fpixel8a_xr_ar_material_stress_probe_a_warm_trace_paired_5sets.json%3Fv%3Dm2026-06-05-a
